物件ID,行動名單,名稱,社區,公開地址,行政區,產品階段,住宅類型,登記用途,格局,樓層,總樓層,屋齡(年),電梯,管理費,最低刊登價(萬),最高刊登價(萬),有車位,總價含車位,車位價(萬),車位必買,預算判斷(8000萬),可確認總價(萬),預算判斷說明,主建物(坪),附屬建物(坪),主+附(坪),平台僅揭露之主+附合計(坪),共有部分(坪),車位(坪),權狀總坪,A口徑(主建物>=26),B口徑(主+附>=26),面積標示,最近出入口,步行公尺(估算),步行分鐘(估算),步行測量方式,位置精度,開價÷主建物(萬/坪),扣車位建坪單價(萬/坪),可售狀態,平台數,平台與物件編號,原始網址,查閱時間,臨路或巷內,主要生活機能,已深度查核,第一輪,主要優點,主要疑慮,待確認事項
XA-022,優先看屋,雙橡園華廈｜大安稀有華廈美3房,雙橡園華廈,台北市大安區安和路二段,大安區,中古屋,華廈,住家用,3房(室)2廳3衛,2,7,44.8,有,"各平台刊 4,675 元/月；東森文案稱住家費率 3,850 元/月、公司費率 4,675 元/月（以管委會規定為準）",5488,5488,無,,,,符合,5488,"無車位，總價：5,488 萬 ≤ 預算 8,000 萬",41.39,4.13,45.52,,9.08,,54.6,符合,符合,主建物符合 26 坪,2A,415.7,5.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,132.59,100.51,研究日查得刊登頁，實際可售狀態待確認,5,中信房屋:2045046 | 東森房屋:702327 | 住商不動產:OS217434 | 信義房屋:82584Q | 永慶房屋:6329281,https://buy.cthouse.com.tw/house/2045046.html | https://www.etwarm.com.tw/houses/buy/702327 | https://www.hbhousing.com.tw/detail?sn=OS217434 | https://www.sinyi.com.tw/buy/house/82584Q | https://buy.yungching.com.tw/house/6329281,2026-09-20T13:26:29+08:00 | 2026-09-20T13:24:26+08:00 | 2026-09-20T13:25:54+08:00 | 2026-09-20T13:29:01+08:00 | 2026-09-20T13:29:34+08:00,文案稱安和路二段靜巷、面臨路寬約 12 米；門牌未公開，是否臨安和路二段本線待確認,捷運信義安和站出口2A（平台資料約 395 公尺）、全聯福利中心（約 112 公尺）與 Mia C'bon 超市（約 70 公尺）、居安公園（約 207 公尺）、私立立人國際中小學（約 66 公尺，緊鄰）、遠企購物中心（約 500 公尺）,是,是,主建物 41.39 坪、24 小時保全電梯華廈，五平台面積資料一致，步行約 5–6 分,2 樓、帶租約、可住可辦的住辦混合棟，掛售逾三年未成交，格局圖有陽台外移,租約內容（對象、用途、租金、到期日、能否點交空屋）；本戶現況是住家還是公司使用、是否有公司登記；確切門牌巷弄與臨路狀況；一樓與同層其他戶的用途；海砂檢測、管線更新與公共修繕紀錄；座向（各平台不一致）
XA-023,優先看屋,翡翠大廈｜附中面公園樹海住辦,翡翠大廈,台北市大安區大安路一段,大安區,中古屋,華廈,住家用 ／ 集合住宅,2房2廳2衛1室,2,7,53.92,有,"每月約 5,550 元。(車位管理費包含在大樓管理費內 / 月繳)",5898,5898,有,是,400,,符合,5898,"含車位總價：5,898 萬 ≤ 預算 8,000 萬",37.85,1.36,39.21,,,11.98,51.2,符合,符合,主建物符合 26 坪,1,1029.4,13,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,145.26,140.18,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2052085 | 住商不動產:WS80645 | 信義房屋:8816XK,https://buy.cthouse.com.tw/house/2052085.html | https://www.hbhousing.com.tw/detail?sn=WS80645 | https://www.sinyi.com.tw/buy/house/8816XK,2026-09-20T13:25:57+08:00 | 2026-09-20T13:27:37+08:00 | 2026-09-20T13:29:45+08:00,,,,,主建物 37.85 坪，高於門檻 11.9 坪,屋齡 53.92 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-024,先補資料再決定,好「辦」了！世貿出口就是這間,,臺北市信義區基隆路2段,信義區,中古屋,其他(住辦),一般事務所,1廳1衛2室,7,12,34,,"每戶2,801(元)/月",2780,2780,無,,,,符合,2780,"無車位，總價：2,780 萬 ≤ 預算 8,000 萬",25.05,,,,4.59,,29.65,不符合,待確認,面積待確認,4,703.5,9,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,110.98,93.76,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2052145,https://buy.cthouse.com.tw/house/2052145.html,2026-09-20T13:28:59+08:00,,,,,步行約 9 分，屬優先範圍,住宅用途待確認,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；附屬建物坪數未揭露；登記用途含非純住家項目（一般事務所）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-025,優先看屋,杜邦雲漢廣場｜信義安和典雅三房,杜邦雲漢廣場,台北市大安區信義路四段265巷（信義房屋社區頁代表門牌：265巷33號；同社區實價登錄門牌見 265巷31弄7號；本戶門牌未公開）,大安區,中古屋,華廈,住家用,3房2廳2衛,2,7,48.2,有,"每月約 1,830 元（中信、信義）；有巢氏頁面寫 1,860 元，待確認",3780,3780,無,否,,否,符合,3780,"無車位，總價：3,780 萬 ≤ 預算 8,000 萬",29.17,3.55,32.72,,3.48,,36.2,符合,符合,主建物符合 26 坪,5,295.3,4,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,129.59,104.42,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2063415 | 信義房屋:0076UN | 有巢氏房屋:7504797,https://buy.cthouse.com.tw/house/2063415.html | https://www.sinyi.com.tw/buy/house/0076UN | https://buy.u-trust.com.tw/house/7504797,2026-09-20T13:28:19+08:00 | 2026-09-20T13:26:06+08:00 | 2026-09-20T13:33:02+08:00,巷內（信義路四段265巷一帶，信義路與仁愛路之間；非直接臨信義路幹道；社區 1 樓有店面，實際門牌與臨巷面待確認）,捷運信義安和站出口5（平台估約 226–305 公尺）、公車站：信義通化街口、三張犁、信義光復路口（有巢氏／中信頁列示）、仁愛國小、仁愛國中（中信頁列為鄰近學校；學區以市府當年度公告為準）、曉星幼兒園等幼托機構（信義頁約 100 公尺內）,是,是,開價每主建物坪約 130 萬，低於同巷鄰棟近一年無備註成交（133–143 萬），步行約 4 分、空屋好看屋,48 年屋齡的 2 樓、樓下有店面、陽台外推且浴廁疑無對外窗，「管線全更新」沒有文件佐證,"本戶實際門牌（265 巷幾號／31 弄幾號）與臨巷位置；管線更新與裝修的施工時間、範圍、廠商與保固文件；陽台外推的施作年代與有無違建查報；正確座向與各房對外窗狀況（浴廁是否有窗）；正確管理費（1,830 或 1,860 元）與管委會財務、公共修繕紀錄；同社區 2 樓或中間樓層的乾淨成交——查詢期間內沒有"
XA-026,先補資料再決定,仁愛學區安和美寓,,台北市大安區安和路一段,大安區,中古屋,公寓,住家用,1房2廳2衛,5,5,50.2,無,,3615,3650,無,,,,符合,3650,"無車位，總價：3,650 萬 ≤ 預算 8,000 萬",29.22,3.97,33.19,,,,33.19,待確認,待確認,面積待確認,1,251.1,3.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,124.91,109.97,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2064021 | 住商不動產:WS42485 | 信義房屋:0064YY,https://buy.cthouse.com.tw/house/2064021.html | https://www.hbhousing.com.tw/detail?sn=WS42485 | https://www.sinyi.com.tw/buy/house/0064YY,2026-09-20T13:24:23+08:00 | 2026-09-20T13:25:32+08:00 | 2026-09-20T13:25:35+08:00,依文案與外觀照片為安和路一段巷內（非臨安和路本線）；照片可見巷內一樓有店家；確切巷弄待確認,捷運信義安和站（地圖估算約 250 公尺）、市立仁愛國小、市立仁愛國中、國泰綜合醫院（頁面列公車站『仁愛國泰醫院』）,是,,離信義安和站約 3–4 分鐘的住家用公寓，扣除陽台後室內推算約 29 坪、土地持分 9.77 坪,50 年屋齡的 5 樓頂樓無電梯公寓，格局與屋況未揭露，頁面主建物含陽台，開價高於鄰近公寓成交,謄本層次面積（主建物、陽臺、樓梯間的登記方式）；現況格局與屋況（幾房幾衛、是否已拆除隔間）；屋頂平台現況：有無加蓋、防水紀錄、使用權約定；管理方式與公共費用分攤；確切巷弄門牌與一樓店家型態；完工日、海砂與輻射檢測、管線更新紀錄
XA-027,優先看屋,信義安和站．電梯高樓有管理,,臺北市大安區仁愛路4段,大安區,中古屋,電梯大樓,住家用,2房2廳2衛,11,14,43.08,有,"每戶2,625(元)/月",3800,3800,無,,,,符合,3800,"無車位，總價：3,800 萬 ≤ 預算 8,000 萬",28.33,2.84,31.17,,4.07,,35.24,符合,符合,主建物符合 26 坪,1,236.9,3,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,134.13,107.83,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2065566,https://buy.cthouse.com.tw/house/2065566.html,2026-09-20T13:24:01+08:00,,,,,步行約 3 分到捷運出入口,屋齡 43.08 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-028,先補資料再決定,凌雲大廈｜忠孝東路凌雲稀有住辦,凌雲大廈,台北市大安區忠孝東路四段,大安區,中古屋,電梯大樓,住家用,1廳2衛,6,12,53.9,有,"每月約 5,500 元。",5998,5998,無,,,,符合,5998,"無車位，總價：5,998 萬 ≤ 預算 8,000 萬",42.99,3.73,46.72,,,,46.72,符合,符合,主建物符合 26 坪,1,965.6,12.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,139.52,128.38,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2067000 | 住商不動產:WS65893 | 太平洋房屋:S2987275 | 信義房屋:8188QU,https://buy.cthouse.com.tw/house/2067000.html | https://www.hbhousing.com.tw/detail?sn=WS65893 | https://www.pacific.com.tw/Object/ObjectDetail/?saleID=S2987275 | https://www.sinyi.com.tw/buy/house/8188QU,2026-09-20T13:24:18+08:00 | 2026-09-20T13:28:30+08:00 | 2026-09-20T13:42:14+08:00 | 2026-09-20T13:30:04+08:00,,,,,主建物 42.99 坪，高於門檻 17.0 坪,屋齡 53.9 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,現況是否為隔套收租產品待確認
XA-029,優先看屋,台北101世貿站 信義路4段 收租 住辦美夏,,臺北市信義區信義路四段,信義區,中古屋,電梯大樓,住家用,1廳2衛4室,8,12,43.83,有,"每戶3,558(元)/月",4428,4428,無,,,,符合,4428,"無車位，總價：4,428 萬 ≤ 預算 8,000 萬",32.58,1.75,34.33,,5.9,,40.23,符合,符合,主建物符合 26 坪,5,514.2,6.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,135.91,110.07,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2071554,https://buy.cthouse.com.tw/house/2071554.html,2026-09-20T13:28:45+08:00,,,,,主建物 32.58 坪，高於門檻 6.6 坪,屋齡 43.83 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-030,先補資料再決定,通化商圈稀有透天厝,,台北市大安區通化街,大安區,中古屋,透天,住家用,6房(室)4廳4衛,1-3,3,39.25,無,,6200,6200,無,,,,符合,6200,"無車位，總價：6,200 萬 ≤ 預算 8,000 萬",39.62,,,,,,39.62,待確認,待確認,面積待確認,2A,579,7.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,156.49,156.49,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2073004 | 住商不動產:WS82488,https://buy.cthouse.com.tw/house/2073004.html | https://www.hbhousing.com.tw/detail?sn=WS82488,2026-09-20T13:29:36+08:00 | 2026-09-20T13:26:27+08:00,,,,,主建物 39.62 坪，高於門檻 13.6 坪,面積待確認,刊登頁的主建物等於總建坪（39.62 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-031,先補資料再決定,大安獨棟景觀陽光學區三房,,台北市大安區大安路二段,大安區,中古屋,公寓,住家用,3房(室)2廳2衛,5,5,45.58,無,,2688,2688,無,,,,符合,2688,"無車位，總價：2,688 萬 ≤ 預算 8,000 萬",23.27,3.46,26.73,,,,26.73,不符合,符合,主＋附符合26坪；主建物未達26坪,2,1021.4,13,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,115.51,100.56,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2074418 | 住商不動產:WS66356,https://buy.cthouse.com.tw/house/2074418.html | https://www.hbhousing.com.tw/detail?sn=WS66356,2026-09-20T13:26:41+08:00 | 2026-09-20T13:27:33+08:00,,,,,（目前沒有明確優勢）,屋齡 45.58 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,管理費未揭露
XA-032,優先看屋,群峰香榭大廈｜仁愛香榭原始景觀戶,群峰香榭大廈,台北市大安區仁愛路四段,大安區,中古屋,電梯大樓,住家用,開放式,12,12,49.8,有,3572元/每月,4800,4800,無,,,,符合,4800,"無車位，總價：4,800 萬 ≤ 預算 8,000 萬",26.81,5.71,32.52,,5.09,,37.61,符合,符合,主建物符合 26 坪,1,1169.6,15,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,179.04,127.63,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2076246 | 住商不動產:OS231411 | 信義房屋:2501YX | 有巢氏房屋:7047306,https://buy.cthouse.com.tw/house/2076246.html | https://www.hbhousing.com.tw/detail?sn=OS231411 | https://www.sinyi.com.tw/buy/house/2501YX | https://buy.u-trust.com.tw/house/7047306,2026-09-20T13:29:26+08:00 | 2026-09-20T13:28:13+08:00 | 2026-09-20T13:27:54+08:00 | 2026-09-20T13:33:12+08:00,,,,,公設比低（約 14%）,屋齡 49.8 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-034,優先看屋,忠孝名家｜明耀三普邊間二樓,忠孝名家,台北市大安區仁愛路四段,大安區,中古屋,電梯大樓,住家用,4房2廳2衛,2,11,37.1,有,"每月約 5,210 元。",6980,6980,無,,,,符合,6980,"無車位，總價：6,980 萬 ≤ 預算 8,000 萬",37.41,5.01,42.42,,9.71,,52.13,符合,符合,主建物符合 26 坪,1,836.9,10.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,186.58,133.90,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2080927 | 住商不動產:WS68187 | 信義房屋:0827GU | 永慶房屋:6399589,https://buy.cthouse.com.tw/house/2080927.html | https://www.hbhousing.com.tw/detail?sn=WS68187 | https://www.sinyi.com.tw/buy/house/0827GU | https://buy.yungching.com.tw/house/6399589,2026-09-20T13:29:17+08:00 | 2026-09-20T13:27:50+08:00 | 2026-09-20T13:31:04+08:00 | 2026-09-20T13:31:28+08:00,,,,,主建物 37.41 坪，高於門檻 11.4 坪,屋齡 37.1 年：需留意管線、防水與貸款年限,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-035,優先看屋,國館靜巷大陽台電梯四房,,台北市大安區光復南路,大安區,中古屋,華廈,住家用 ／ 集合住宅,4房(室)2廳2衛,5,7,46.75,有,1100元/每月,4388,4388,無,,,,符合,4388,"無車位，總價：4,388 萬 ≤ 預算 8,000 萬",33.95,8.14,42.09,,,,42.08,符合,符合,主建物符合 26 坪,5,825.9,10.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,129.25,104.28,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2084776 | 住商不動產:WS70627,https://buy.cthouse.com.tw/house/2084776.html | https://www.hbhousing.com.tw/detail?sn=WS70627,2026-09-20T13:28:39+08:00 | 2026-09-20T13:27:22+08:00,,,,,主建物 33.95 坪，高於門檻 8.0 坪,屋齡 46.75 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
